station_id,station_name,lng,lat
141285,东新二路小洲路口,115.863116,28.595391
135411,东方百灵酒店,115.88864,28.658484
138668,东方红,115.727528,28.721308
119039,东方香颂,115.837741,28.933235
138651,东昌,115.765156,28.817944
102420,东江桥,115.75493549168,28.5046125798947
143445,东泰大道昌丰路口,115.969147,28.6336
143446,东泰大道黎明路口,115.969683,28.637628
109319,东港,116.152770281706,28.6638795128216
139838,东游村委会,116.083949,28.480846
138663,东源,115.73978,28.748099
132234,东田,116.149912,28.593583
103376,东祥路汇仁大道口,115.838505,28.575754
138779,东祥路银湖三路口,115.839015,28.580984
110022,东禅寺,116.172202170889,28.5678417324784
124712,东箭路火炬五路口,115.97982,28.71816
122029,东联,116.110787,28.559558
108479,东莲路,115.877394868842,28.5820416091685
108480,东莲路东口,115.883700091842,28.5819361551844
112250,东莲路东祥路口,115.842004,28.582992
135219,东莲路口,115.885833,28.580783
112235,东莲路河洲路口,115.829719,28.583403
141516,东莲路河洲路口东,115.835556,28.583068
113020,东莲路诚义路口,115.867551,28.582896
112722,东边村,116.083128,28.299058
108926,东邺,116.013102,28.800231
145880,东门口路,116.271712,28.374855
142130,东门村,115.778069,29.074162
145469,东闵村,116.08588,28.697292
133122,东阳村,115.942367,29.04947
144872,中东门,115.916148,28.566206
123390,中兴路,115.994354,28.709336
144799,中医药文化公园,115.828324,28.927938
144898,中医药科创城管委会,115.841022,28.931945
121706,中国（江西）针织服装创意产业园,115.958191498426,28.622614611959
111235,中坊,116.041636,28.493875
144027,中堡村,115.756184,28.628553
117239,中大停车场,115.922903918699,28.7086062249688
124671,中大公交停车场,115.922851,28.711092
135735,中大公交停车场,115.911765,28.71572
138118,中大南路中大路口,115.922162,28.705161
138119,中大南路洪都北大道口,115.918592,28.705156
117485,中央香榭,115.834163,28.66198
117916,中山大道,116.238516,28.372743
115192,中山大道中口,116.2394,28.388101
120884,中山大道北口,116.239776,28.391683
115193,中山大道南口,116.23941,28.385215
100538,中山桥,115.878059211124,28.678828414208
102596,中山桥东,115.878684,28.676833
104922,中山路东口,115.896127,28.678834
124673,中山路西口,115.880178,28.678415
115191,中心大道北口,116.239344,28.39301
109153,中熊村,116.059742,28.567787
129039,中等专业学校,115.808298,28.684092
135636,中车集团,115.814593,28.957922
115375,中陵路口,116.261988292034,28.3650662944136
108858,丰产桥,116.05948,28.825379
131378,丰产桥,116.062924,28.837225
118086,丰和中大道世贸路口,115.847114,28.685096
118085,丰和中大道丽景路口,115.844905,28.681015
127506,丰和中大道口（翠苑路地铁站1号口）,115.841427,28.674911
117823,丰和中大道春晖路口,115.85965,28.698412
118094,丰和中大道绿茵路口,115.852905,28.695589
118099,丰和北大道南口,115.865146,28.703456
118097,丰和北大道香江路口,115.86801214,28.70698655
142440,丰和北大道黄河路,115.875146,28.723351
136880,丰和北立交快速路出口,115.877808,28.731443
140904,丰和南大道岭北一路口,115.827913,28.651063
1604,丰和立交,115.841767866197,28.6712373017517
117753,丰和立交南,115.838138,28.669728
2724,丰和花园东,115.84777,28.69369
145396,丰城东站168总站,115.804948,28.170856
2845,丰城回南昌下高速（虚拟）,115.782719,28.641853
145400,丰城火车站,115.783578,28.187714
105268,丰收桥,116.081048992566,28.8553962957265
142535,丰泽花园,115.730062,28.629755
124570,丰洲桥,116.082536,28.855571
106538,丰源嘉会,115.878193,28.672457
122178,丰源淳和,115.881919,28.603188
145402,临江首府,115.796767,28.203226
118078,临空产业配套中心,115.930884,28.820914
113371,临空产业配套服务中心,115.928013,28.821591
116210,临空经济区公交首末站,115.942720814738,28.8215583364981
105392,为民村委会,115.908665,28.724123
105218,为民路,116.019551,28.764873
108160,主体乐园,115.783004172232,28.5859951128381
108071,丽景中路口,115.8427421241,28.6780338352707
100535,丽景路中寰路口,115.845575342242,28.6794865948503
100257,丽景路口,115.847728,28.675939
138319,丽湖中大道向塘西大道口,115.944667,28.455895
144628,义坊路昌东大道口,115.970627,28.616092
144629,义坊路西口,115.964788,28.616345
131156,义垅,116.106603,28.402842
101511,义渡,115.701786197664,28.4169359981877
121090,义渡桥头,115.698385175549,28.4079492116392
102474,乌桥村,115.63405,28.566269
101745,乌桥路口,115.628439,28.564306
102046,乌桥路口南,115.629418,28.562824
100251,乌石桥,115.828281,28.688052
115983,乐化,115.86357,28.823567
115984,乐化四中,115.865299,28.827173
115987,乐化天桥,115.870284,28.832912
114607,乐化天桥（东）,115.86818,28.831664
115981,乐化新街,115.862275,28.81918
115978,乐化老街,115.860845,28.815963
132216,乐圩邓家自然村路口,116.077378,28.608769
119294,乐水路口,115.825585,28.661906
129688,乐活公园城,115.78671,28.709929
143681,九仰梧桐,115.960148,28.70285
137894,九合桥头,115.821486,29.044723
133661,九方村,115.921017,28.333467
107040,九江街九龙大道口,115.8061653958,28.6280902393917
134371,九江街达礼路口,115.787816,28.635861
142048,九洲大街子羽路口,115.875836,28.629176
138658,九溪,115.753894,28.783809
108836,九联圩,116.11857,28.870435
134681,九连山路宜春大街口,115.792266,28.575747
111292,九里象湖公交总站,115.877004,28.597937
110075,九龙大道九江街口,115.804455,28.628589
110082,九龙大道南龙蟠街口,115.780344,28.589163
125774,九龙大道宜春大街口,115.774272,28.575278
135896,九龙大道鹰潭街口西,115.78968,28.603593
110076,九龙大道龙兴大街口,115.799951,28.617522
124938,九龙明珠,115.803936,28.60718
134679,九龙湖南地铁站东,115.79039,28.58278
134678,九龙湖南地铁站西,115.787375,28.583496
2187,九龙湖隧道北,115.796471,28.593949
122745,九龙湾公园,116.252205,28.2688
108569,二七北路北京西路口,115.913598,28.678356
108566,二七北路南京西路口,115.914228,28.689179
108567,二七北路福州路口,115.913748,28.684913
108565,二七北路阳明东路口,115.914168,28.692866
109687,二七南路口解放西路口,115.91291,28.658874
501,二七南路岔道口西路口,115.9134,28.672248
108570,二七南路金盘路口,115.913508,28.674722
124707,二十八中(高新校区),115.993485,28.705976
2504,二塘乡政府,116.469465,28.537025
142483,二纬路口,115.889495,28.693823
109269,二郎庙,116.178402,28.703204
135081,云卿路永乐路口,115.844924,28.619107
143248,云天路东口,115.876693,28.642382
122042,云天路丹桂路口,115.870618,28.640177
103365,云天路抚生南路口,115.86393,28.642776
142124,云山经济开发区管委会,115.771257,29.102136
115269,云桥北路口,116.246265,28.374611
122743,云桥南路云中路口,116.249186,28.35592
131731,云桥南路口,116.249532,28.35401
131764,云桥路,116.250753,28.347755
137191,云桥路南口,116.244812,28.371957
118305,云桥路口,116.246225,28.371715
113029,云海路东,115.86803,28.620344
