sectionId,carId,path,start_date_time,end_date_time
6134_up17,150910,"[[115.811, 28.68401666666667, '2021-09-13 17:20:45']]",2021-09-13 17:20:45,2021-09-13 17:20:45
6134_up18,150910,"[[115.81328333333332, 28.68383333333333, '2021-09-13 17:21:15'], [115.8143, 28.683616666666666, '2021-09-13 17:21:30'], [115.81491666666666, 28.68348333333333, '2021-09-13 17:21:45'], [115.81558333333334, 28.683316666666663, '2021-09-13 17:22:00']]",2021-09-13 17:21:15,2021-09-13 17:22:00
6134_up20,150910,"[[115.81975, 28.682716666666668, '2021-09-13 17:24:15'], [115.8217, 28.68328333333333, '2021-09-13 17:24:30'], [115.82225, 28.683466666666668, '2021-09-13 17:24:45']]",2021-09-13 17:24:15,2021-09-13 17:24:45
6134_up0,809815,"[[115.82911666666666, 28.727816666666666, '2021-09-10 15:12:30'], [115.82808333333334, 28.7272, '2021-09-10 15:12:45'], [115.82746666666668, 28.72685, '2021-09-10 15:13:00'], [115.82641666666666, 28.726216666666662, '2021-09-10 15:13:15']]",2021-09-10 15:12:30,2021-09-10 15:13:15
6134_up1,809815,"[[115.82471666666666, 28.723983333333333, '2021-09-10 15:13:45']]",2021-09-10 15:13:45,2021-09-10 15:13:45
6134_up2,809815,"[[115.82408333333332, 28.721966666666667, '2021-09-10 15:14:15'], [115.82396666666666, 28.721616666666662, '2021-09-10 15:14:30'], [115.82361666666668, 28.72048333333333, '2021-09-10 15:14:45'], [115.82315, 28.71901666666667, '2021-09-10 15:15:00'], [115.82265, 28.717416666666665, '2021-09-10 15:15:15'], [115.82218333333331, 28.715916666666665, '2021-09-10 15:15:30'], [115.82166666666669, 28.71428333333333, '2021-09-10 15:15:45']]",2021-09-10 15:14:15,2021-09-10 15:15:45
6134_up4,809815,"[[115.82066666666668, 28.71141666666667, '2021-09-10 15:16:30'], [115.82025, 28.710566666666665, '2021-09-10 15:16:45'], [115.82001666666666, 28.7102, '2021-09-10 15:17:00'], [115.81953333333334, 28.7095, '2021-09-10 15:17:15']]",2021-09-10 15:16:30,2021-09-10 15:17:15
6134_up5,809815,"[[115.81845, 28.7079, '2021-09-10 15:17:45']]",2021-09-10 15:17:45,2021-09-10 15:17:45
6134_up6,809815,"[[115.81845, 28.7079, '2021-09-10 15:18:15'], [115.81813333333334, 28.707266666666666, '2021-09-10 15:18:30'], [115.8178, 28.70608333333333, '2021-09-10 15:18:45'], [115.81775, 28.705583333333333, '2021-09-10 15:19:00'], [115.81775, 28.705583333333333, '2021-09-10 15:19:15'], [115.81775, 28.705583333333333, '2021-09-10 15:19:30'], [115.8178, 28.704366666666665, '2021-09-10 15:19:45'], [115.8178, 28.70433333333333, '2021-09-10 15:20:00'], [115.8178, 28.70433333333333, '2021-09-10 15:20:15']]",2021-09-10 15:18:15,2021-09-10 15:20:15
6134_up7,809815,"[[115.81765, 28.700166666666668, '2021-09-10 15:21:15'], [115.81633333333332, 28.700033333333334, '2021-09-10 15:21:30'], [115.81473333333334, 28.69998333333333, '2021-09-10 15:21:45']]",2021-09-10 15:21:15,2021-09-10 15:21:45
6134_up8,809815,"[[115.81195, 28.69993333333333, '2021-09-10 15:22:15'], [115.81058333333333, 28.69988333333333, '2021-09-10 15:22:30'], [115.80871666666668, 28.69975, '2021-09-10 15:22:45']]",2021-09-10 15:22:15,2021-09-10 15:22:45
6134_up9,809815,"[[115.80753333333334, 28.699683333333333, '2021-09-10 15:23:15'], [115.80705, 28.69965, '2021-09-10 15:23:30'], [115.80601666666666, 28.69955, '2021-09-10 15:23:45'], [115.80581666666669, 28.69953333333333, '2021-09-10 15:24:00'], [115.80581666666669, 28.69953333333333, '2021-09-10 15:24:15'], [115.80581666666669, 28.69953333333333, '2021-09-10 15:24:30'], [115.80581666666669, 28.69953333333333, '2021-09-10 15:24:45'], [115.80455, 28.699466666666662, '2021-09-10 15:25:00'], [115.80343333333332, 28.6994, '2021-09-10 15:25:15'], [115.80331666666666, 28.699383333333333, '2021-09-10 15:25:30']]",2021-09-10 15:23:15,2021-09-10 15:25:30
6134_up10,809815,"[[115.801, 28.699166666666667, '2021-09-10 15:26:00'], [115.801, 28.699166666666667, '2021-09-10 15:26:15'], [115.801, 28.699166666666667, '2021-09-10 15:26:30'], [115.801, 28.699166666666667, '2021-09-10 15:26:45'], [115.801, 28.699166666666667, '2021-09-10 15:27:00'], [115.801, 28.699166666666667, '2021-09-10 15:27:15'], [115.801, 28.699166666666667, '2021-09-10 15:27:30'], [115.80068333333334, 28.699066666666667, '2021-09-10 15:27:45'], [115.80108333333334, 28.69835, '2021-09-10 15:28:00']]",2021-09-10 15:26:00,2021-09-10 15:28:00
6134_up13,809815,"[[115.80553333333332, 28.6888, '2021-09-10 15:30:30']]",2021-09-10 15:30:30,2021-09-10 15:30:30
6134_up14,809815,"[[115.80633333333331, 28.68618333333333, '2021-09-10 15:31:00']]",2021-09-10 15:31:00,2021-09-10 15:31:00
6134_up15,809815,"[[115.80741666666668, 28.68488333333333, '2021-09-10 15:31:30'], [115.80811666666666, 28.6842, '2021-09-10 15:31:45'], [115.80821666666668, 28.6841, '2021-09-10 15:32:00']]",2021-09-10 15:31:30,2021-09-10 15:32:00
6134_up16,809815,"[[115.80898333333332, 28.6839, '2021-09-10 15:32:30']]",2021-09-10 15:32:30,2021-09-10 15:32:30
6134_up17,809815,"[[115.8117, 28.68401666666667, '2021-09-10 15:33:00']]",2021-09-10 15:33:00,2021-09-10 15:33:00
