route_name,route_id,isUporDown
849路,849,上行
849路,849,下行
6192路,6192,上行
6192路,6192,下行
530路,530,上行
530路,530,下行
503路,503,上行
503路,503,下行
880路,880,上行
880路,880,下行
867路夜间,1867,上行
867路夜间,1867,下行
6118路,6118,上行
6118路,6118,下行
C41路,5041,上行
C41路,5041,下行
228路,228,上行
228路,228,下行
181路,181,上行
181路,181,下行
666路,666,上行
666路,666,下行
841路,841,上行
841路,841,下行
269路,269,上行
269路,269,下行
267路,267,上行
267路,267,下行
265路,265,上行
265路,265,下行
6042路,6042,上行
6042路,6042,下行
846路,846,上行
846路,846,下行
6254路,6254,上行
6254路,6254,下行
6256路,6256,上行
6256路,6256,下行
高铁7线,617,上行
高铁7线,617,下行
116路支线,3116,上行
116路支线,3116,下行
家企1线,8001,上行
家企1线,8001,下行
848路,848,上行
848路,848,下行
730路,730,上行
730路,730,下行
240路,240,上行
240路,240,下行
860路,860,上行
860路,860,下行
新区2路支线,1672,上行
新区2路支线,1672,下行
421特约线路,421,上行
421特约线路,421,下行
179路长班,2179,上行
179路长班,2179,下行
C76路,5076,上行
C76路,5076,下行
C73路,5073,上行
C73路,5073,下行
家校320线,6320,上行
家校320线,6320,下行
345路高坊线,345,上行
345路高坊线,345,下行
535路,535,上行
535路,535,下行
861路,861,上行
861路,861,下行
476特约线路,476,上行
476特约线路,476,下行
225路,225,上行
225路,225,下行
628路外线,1628,上行
628路外线,1628,下行
305路,305,上行
305路,305,下行
889路,889,上行
889路,889,下行
6030路,6030,上行
6030路,6030,下行
890路,890,上行
890路,890,下行
510路长班,1510,上行
510路长班,1510,下行
840路,840,上行
840路,840,下行
836路,836,上行
836路,836,下行
234路,234,上行
234路,234,下行
179路,179,上行
179路,179,下行
485,485,上行
485,485,下行
258路,258,上行
258路,258,下行
586路,586,上行
586路,586,下行
847路,847,上行
847路,847,下行
C64路,5064,上行
C64路,5064,下行
218路夜间,3218,上行
218路夜间,3218,下行
629路,629,上行
629路,629,下行
171路,171,上行
171路,171,下行
2路,2,上行
2路,2,下行
52路,52,上行
52路,52,下行
19路,19,上行
19路,19,下行
233路,233,上行
233路,233,下行
C20区间,15020,上行
C20区间,15020,下行
33路,33,上行
33路,33,下行
484路,484,上行
484路,484,下行
865路,865,上行
865路,865,下行
628路,628,上行
628路,628,下行
C23路,5023,上行
C23路,5023,下行
834路,834,上行
834路,834,下行
481路,481,上行
481路,481,下行
315路,315,上行
315路,315,下行
501东城,501Q,上行
501东城,501Q,下行
243路,243,上行
243路,243,下行
家企2线,8002,上行
家企2线,8002,下行
123路官塘线,1123,上行
123路官塘线,1123,下行
842路,842,上行
842路,842,下行
875路,875,上行
875路,875,下行
822路,822,上行
822路,822,下行
630路,630,上行
630路,630,下行
838路夜间,1838,上行
838路夜间,1838,下行
6228路,6228,上行
6228路,6228,下行
600路,600,上行
600路,600,下行
886路,886,上行
886路,886,下行
203长班,203,上行
203长班,203,下行
6268路,6268,上行
6268路,6268,下行
879路,879,上行
879路,879,下行
883路,883,上行
883路,883,下行
38路,38,上行
38路,38,下行
176路,176,上行
176路,176,下行
29路,29,上行
29路,29,下行
482路,482,上行
482路,482,下行
248路快线,718,上行
248路快线,718,下行
805路,805,上行
805路,805,下行
806路,806,上行
806路,806,下行
891路,891,上行
891路,891,下行
864路,864,上行
864路,864,下行
C75路,5075,上行
C75路,5075,下行
501路,501,上行
501路,501,下行
123路,123,上行
123路,123,下行
575路,575,上行
575路,575,下行
872路,872,上行
872路,872,下行
20路,20,上行
20路,20,下行
851,851,上行
851,851,下行
C8路,5008,上行
C8路,5008,下行
113路,113,上行
113路,113,下行
161路,161,上行
161路,161,下行
115路快线,715,上行
115路快线,715,下行
6226路,6226,上行
6226路,6226,下行
家企9线,8009,上行
家企9线,8009,下行
215路,215,上行
215路,215,下行
887路,887,上行
887路,887,下行
262路,262,上行
262路,262,下行
定制1号线,487,上行
定制1号线,487,下行
884路,884,上行
884路,884,下行
732路,732,上行
732路,732,下行
C71路,5071,上行
C71路,5071,下行
322路罗盘短班,1322,上行
322路罗盘短班,1322,下行
835路,835,上行
835路,835,下行
