route_Id,station_Id
119,102474
119,101744
119,1145
119,101743
119,1143
119,101742
119,101933
119,101932
119,101931
119,668
119,660
119,650
119,644
119,101926
119,101925
119,265
119,100767
119,101924
119,255
119,100792
119,101922
119,811
119,253
119,101921
119,178
119,101920
119,102417
119,176
119,129040
119,101919
119,129042
119,174
119,184
119,101917
119,101917
119,174
119,129042
119,129040
119,176
119,102417
119,101920
119,178
119,129039
119,101921
119,253
119,811
119,101922
119,100792
119,265
119,101925
119,101926
119,503
119,644
119,101732
119,101927
119,650
119,101928
119,660
119,668
119,101930
119,672
119,101932
119,101933
119,101741
119,101742
119,1143
119,101743
119,1145
119,1039
119,1147
119,1149
119,102469
119,102470
11,108283
11,883
11,108282
11,2435
11,911
11,943
11,108281
11,955
11,108280
11,2044
11,975
11,971
11,109687
11,819
11,993
11,104917
11,108272
11,108271
11,1500
11,108296
11,108295
11,108294
11,108293
11,1064
11,116460
11,108291
11,1062
11,108290
11,102657
11,1057
11,925
11,108286
11,923
11,108285
11,919
11,107376
11,913
11,100268
1214,121136
1214,124673
1214,121137
1214,863
1214,110097
1214,867
1214,821
1214,113996
1214,112339
1214,112329
1214,299
1214,121130
1214,291
1214,105569
1214,121129
1214,293
1214,105570
1214,323
1214,319
1214,281
1214,121126
1214,321
1214,313
1214,199
1214,122974
1214,121124
1214,118
1214,122973
1214,121122
1214,122971
1214,121121
1214,108
1214,140676
1214,101
1214,121118
1214,65
1214,121117
1214,121116
1214,81
1214,103716
1214,105
1214,121157
1214,121111
1214,97
1214,97
1214,121111
1214,121157
1214,121156
1214,103716
1214,103
1214,121116
1214,121117
1214,65
1214,121118
1214,101
1214,140676
1214,67
